gender,age,region,used_products,used_shampoo,usage_trigger,feeling_after_use,desired_compliment,expected_features,usage_occasion,occasion_reason,current_brand,brand_reason,pain_points,purchase_channels,main_channel,Target_Winning_Zone,pain_points_std,brand_reason_std
หญิง,55 ปีขึ้นไป,กทม. & ปริมณฑล,"แชมพูปิดผมขาว (ฉีก เท สระ เหมือนสระผม), ครีมเปลี่ยนสีผมแบบต้องผสม (ในถ้วย/ขวด)",เคยใช้แชมพูปิดผมขาว,ต้องไปงาน,สบายใจขึ้น,ย้อมได้ทั่วดี,"ปิดผมหงอกเนียนสนิท, รวดเร็ว ใช้เวลาน้อยในการทำ, ได้สีผมเป็นธรรมชาติ, ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, ใช้งานง่าย ไม่ต้องผสม, มีสารบำรุง, ราคาดี / คุ้มค่า, หาซื้อง่าย / มีขายใกล้บ้าน","ก่อนออกงานสังคม เช่น งานแต่งงาน, งานบวช, ก่อนเจอเพื่อนเก่า เช่น งานรวมรุ่น",ผมขาวดูสูงวัย,HerbaSure,เพื่อนแนะนำ,ไม่มี,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops)","ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops)",1,ไม่มีปัญหา / ไม่ระบุ,"เหตุผลอื่น ๆ (เพื่อนแนะนำ, โฆษณา, พรีเซนเตอร์)"
หญิง,35–44 ปี,กทม. & ปริมณฑล,แชมพูปิดผมขาว (ฉีก เท สระ เหมือนสระผม),เคยใช้แชมพูปิดผมขาว,เห็นผมขาว,เพิ่มความมั่นใจ,ดูอ่อนกว่าวัย,"ปิดผมหงอกเนียนสนิท, รวดเร็ว ใช้เวลาน้อยในการทำ, ได้สีผมเป็นธรรมชาติ, ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, ใช้งานง่าย ไม่ต้องผสม, มีสารบำรุง, สีไม่หลุดง่าย, ราคาดี / คุ้มค่า, หาซื้อง่าย / มีขายใกล้บ้าน","ก่อนออกงานสังคม เช่น งานแต่งงาน, งานบวช, ก่อนเจอเพื่อนเก่า เช่น งานรวมรุ่น, ช่วงเทศกาล เช่น ปีใหม่ สงกรานต์",เพิ่มความมั่นใจ,HerbaSure,เพราะคำเคลมว่าส่วนผลมจากธรรมชาติ,สีหลุดง่าย หลังใช้ผมแห้งกระด้าง ต้องการให้อยู่ได้นาน1เดือนขึ้นและผมนุ่ม,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops), ร้านสะดวกซื้อ (เช่น 7-11, CJ More, Big C Mini)","ร้านสะดวกซื้อ (เช่น 7-11, CJ More, Big C Mini)",1,มีทั้งปัญหาแพ้/กลิ่น และสีไม่ติด,เลือกเพราะอ่อนโยน/ไม่แพ้/กลิ่นดี
หญิง,45–54 ปี,ภาคตะวันออก,แบบซองครีม (ไม่ต้องผสม บีบแล้วลูบลงผมได้เลย),เคยใช้แชมพูปิดผมขาว,มีคนทัก,มั่นใจขึ้น,สวย ปิดงอกแล้ว,"ปิดผมหงอกเนียนสนิท, มีเฉดสีให้เลือกเยอะ, สีไม่หลุดง่าย","ก่อนออกงานสังคม เช่น งานแต่งงาน, งานบวช, ก่อนงานสำคัญ เช่น ประชุมใหญ่บริษัท, พรีเซนต์งาน, ช่วงเทศกาล เช่น ปีใหม่ สงกรานต์",ความพร้อมดูดี มั่นใจเวลาคนพบเห็น,HerbaSure,ราคา,อยากได้ที่ดีกว่า ราคาไม่แพง,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops), ร้านสะดวกซื้อ (เช่น 7-11, CJ More, Big C Mini), ร้านขายยาหรือร้านบิวตี้ (เช่น Boots, Watsons)","ร้านขายยาหรือร้านบิวตี้ (เช่น Boots, Watsons)",0,"ปัญหาอื่น ๆ (ราคา, แพ็คเกจ, เลอะเทอะ, ใช้งานยาก)",เลือกเพราะราคา/ความคุ้มค่า
หญิง,55 ปีขึ้นไป,กทม. & ปริมณฑล,"แชมพูปิดผมขาว (ฉีก เท สระ เหมือนสระผม), ครีมเปลี่ยนสีผมแบบต้องผสม (ในถ้วย/ขวด)",เคยใช้แชมพูปิดผมขาว,ต้องไปงาน,"รู้สึกดี,หน้าเด็กลง,มีสีผมที่ชอบ",ดูดีขึ้น,"ปิดผมหงอกเนียนสนิท, มีเฉดสีให้เลือกเยอะ, ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, มีสารบำรุง, สีไม่หลุดง่าย, หาซื้อง่าย / มีขายใกล้บ้าน","ก่อนออกงานสังคม เช่น งานแต่งงาน, งานบวช, ก่อนเจอเพื่อนเก่า เช่น งานรวมรุ่น, ช่วงเทศกาล เช่น ปีใหม่ สงกรานต์","เบื่อคำพูด ""โอ้โห้ ผมหงอกเยอะจัง""",HerbaSure,หาซื้อสะดวก,อยากให้ผมนุ่มกว่านี้,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops), ร้านสะดวกซื้อ (เช่น 7-11, CJ More, Big C Mini), ร้านขายยาหรือร้านบิวตี้ (เช่น Boots, Watsons)","ร้านสะดวกซื้อ (เช่น 7-11, CJ More, Big C Mini)",1,"ปัญหาอื่น ๆ (ราคา, แพ็คเกจ, เลอะเทอะ, ใช้งานยาก)",เลือกเพราะใช้ง่าย/สะดวกรวดเร็ว
หญิง,55 ปีขึ้นไป,กทม. & ปริมณฑล,"แชมพูปิดผมขาว (ฉีก เท สระ เหมือนสระผม), ครีมเปลี่ยนสีผมแบบต้องผสม (ในถ้วย/ขวด), แบบซองครีม (ไม่ต้องผสม บีบแล้วลูบลงผมได้เลย)",เคยใช้แชมพูปิดผมขาว,ต้องไปงาน,ชอบ,ดูดี,"ปิดผมหงอกเนียนสนิท, รวดเร็ว ใช้เวลาน้อยในการทำ, ได้สีผมเป็นธรรมชาติ, ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, ใช้งานง่าย ไม่ต้องผสม, มีสารบำรุง, สีไม่หลุดง่าย, ราคาดี / คุ้มค่า, หาซื้อง่าย / มีขายใกล้บ้าน","ก่อนออกงานสังคม เช่น งานแต่งงาน, งานบวช, ก่อนงานสำคัญ เช่น ประชุมใหญ่บริษัท, พรีเซนต์งาน, ก่อนเจอเพื่อนเก่า เช่น งานรวมรุ่น, ช่วงเทศกาล เช่น ปีใหม่ สงกรานต์",ดูดี,"Lorisse, Florevia",ใช้ง่าย ติดดี,หลังใช้ เส้นผมไม่แห้ง,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops), ร้านสะดวกซื้อ (เช่น 7-11, CJ More, Big C Mini), ร้านขายยาหรือร้านบิวตี้ (เช่น Boots, Watsons)","ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops)",1,มีปัญหาเรื่องกลิ่น/แสบคัน/ผมเสีย,เลือกเพราะใช้ง่าย/สะดวกรวดเร็ว
หญิง,30–34 ปี,กทม. & ปริมณฑล,"แชมพูปิดผมขาว (ฉีก เท สระ เหมือนสระผม), ครีมเปลี่ยนสีผมแบบต้องผสม (ในถ้วย/ขวด), แบบซองครีม (ไม่ต้องผสม บีบแล้วลูบลงผมได้เลย)",เคยใช้แชมพูปิดผมขาว,รีบใช้ผมและไม่มีเวลาย้อม,มั่นใจขึ้น,ไม่เห็นผมงอกละนะ,"ปิดผมหงอกเนียนสนิท, รวดเร็ว ใช้เวลาน้อยในการทำ, ได้สีผมเป็นธรรมชาติ, ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, ใช้งานง่าย ไม่ต้องผสม, สีไม่หลุดง่าย","ก่อนงานสำคัญ เช่น ประชุมใหญ่บริษัท, พรีเซนต์งาน, ก่อนเจอเพื่อนเก่า เช่น งานรวมรุ่น, วันธรรมดาที่รู้สึกไม่มั่นใจในผมหงอก",ส่วนใหญ่เป็นเหตุการณ์เร่งด่วนที่รู้กระทันหันหรือ เตรียมตัวย้อมผมไม่ทันเลยต้องรีบใช้แชมพูเปลี่ยนสีผมไปก่อน วันที่จะต้องดูดี 1 วัน,Kronwald,เชื่อมั่นในแบรนด์,สีติดเล็บติดมือ อยากให้สีมันไม่ติดเล็บ,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops), ร้านขายยาหรือร้านบิวตี้ (เช่น Boots, Watsons)","ร้านขายยาหรือร้านบิวตี้ (เช่น Boots, Watsons)",1,มีปัญหาเรื่องสีไม่ติด/หลุดไว,"เหตุผลอื่น ๆ (เพื่อนแนะนำ, โฆษณา, พรีเซนเตอร์)"
หญิง,55 ปีขึ้นไป,กทม. & ปริมณฑล,แชมพูปิดผมขาว (ฉีก เท สระ เหมือนสระผม),เคยใช้แชมพูปิดผมขาว,เห็นผมขาว,มั่นใจขึ้น,ยังดูดี ไม่แก่เลย,"ปิดผมหงอกเนียนสนิท, รวดเร็ว ใช้เวลาน้อยในการทำ, ได้สีผมเป็นธรรมชาติ, ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, ใช้งานง่าย ไม่ต้องผสม, มีสารบำรุง, ราคาดี / คุ้มค่า",ใช้เป็นประจำ ไม่ได้ขึ้นกับโอกาส,เพื่อความมั่นใจ,HerbaSure,ใช้ง่าย ราคาดี,ไม่ระบุ,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops), ร้านสะดวกซื้อ (เช่น 7-11, CJ More, Big C Mini), ออนไลน์ (Shopee, Lazada, TikTok shop ฯลฯ)","ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops)",1,ไม่มีปัญหา / ไม่ระบุ,เลือกเพราะใช้ง่าย/สะดวกรวดเร็ว
หญิง,45–54 ปี,กทม. & ปริมณฑล,"แชมพูปิดผมขาว (ฉีก เท สระ เหมือนสระผม), ครีมเปลี่ยนสีผมแบบต้องผสม (ในถ้วย/ขวด)",เคยใช้แชมพูปิดผมขาว,เห็นผมขาว,มั่นใจขึ้น,ดูดีขึ้น,"ปิดผมหงอกเนียนสนิท, มีเฉดสีให้เลือกเยอะ, ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, ใช้งานง่าย ไม่ต้องผสม, มีสารบำรุง, สีไม่หลุดง่าย, ราคาดี / คุ้มค่า, หาซื้อง่าย / มีขายใกล้บ้าน","ก่อนออกงานสังคม เช่น งานแต่งงาน, งานบวช, ถ่ายรูปติดบัตร เช่น บัตรประชาชน/ใบขับขี่/พาสปอร์ต, ช่วงเทศกาล เช่น ปีใหม่ สงกรานต์",เจอคนรู้ตักเยอะ,"Oréline, Hiyora Style",ปกปิดดี กลิ่นไม่ฉุน ไม่แพ้,ราคาโปรโมชั่น,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops), ร้านค้าทั่วไปใกล้บ้าน (เช่น ร้านโชห่วย, ร้านของชำ), ร้านขายยาหรือร้านบิวตี้ (เช่น Boots, Watsons)","ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops)",1,"ปัญหาอื่น ๆ (ราคา, แพ็คเกจ, เลอะเทอะ, ใช้งานยาก)",เลือกเพราะอ่อนโยน/ไม่แพ้/กลิ่นดี
หญิง,55 ปีขึ้นไป,กทม. & ปริมณฑล,"แชมพูปิดผมขาว (ฉีก เท สระ เหมือนสระผม), ครีมเปลี่ยนสีผมแบบต้องผสม (ในถ้วย/ขวด), แบบซองครีม (ไม่ต้องผสม บีบแล้วลูบลงผมได้เลย)",เคยใช้แชมพูปิดผมขาว,ตามอายุมีปริมาณมาก,ดูดี ไม่แก่,ดูสาว,"ปิดผมหงอกเนียนสนิท, รวดเร็ว ใช้เวลาน้อยในการทำ, ได้สีผมเป็นธรรมชาติ, ไม่แสบหนังศีรษะ, ใช้งานง่าย ไม่ต้องผสม, มีสารบำรุง, สีไม่หลุดง่าย, ราคาดี / คุ้มค่า, หาซื้อง่าย / มีขายใกล้บ้าน","วันธรรมดาที่รู้สึกไม่มั่นใจในผมหงอก, มีขึ้นปริมาณมากแล้วดูโทรม",ต้องการดูดีสวยงามสมวัย,LorissE. FloreVia Oréline,ใข้แล้วได้ผล ราคาเหมาะสม มีคุณภาพหน้าเชื่อถือ,ใช้เวลานาน สีถึงติดในบางแบรนด์,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops), ออนไลน์ (Shopee, Lazada, TikTok shop ฯลฯ)","ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops)",1,"ปัญหาอื่น ๆ (ราคา, แพ็คเกจ, เลอะเทอะ, ใช้งานยาก)",เลือกเพราะราคา/ความคุ้มค่า
หญิง,55 ปีขึ้นไป,กทม. & ปริมณฑล,"แชมพูปิดผมขาว (ฉีก เท สระ เหมือนสระผม), ครีมเปลี่ยนสีผมแบบต้องผสม (ในถ้วย/ขวด)",เคยใช้แชมพูปิดผมขาว,เห็นผมขาวตัวเอว,ดูดีมั่นใจขึ้น,ดูดี,"ปิดผมหงอกเนียนสนิท, รวดเร็ว ใช้เวลาน้อยในการทำ, ได้สีผมเป็นธรรมชาติ, ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, มีสารบำรุง, สีไม่หลุดง่าย, ราคาดี / คุ้มค่า, หาซื้อง่าย / มีขายใกล้บ้าน, ไม่ใช่สารเคมี เป็นนสมุนไพร","ก่อนงานสำคัญ เช่น ประชุมใหญ่บริษัท, พรีเซนต์งาน, เห็นผมขาวมากขึ้นก็จะย้อมเอง",ทำให้ดูดี สนใจตนเองบ้าง,LorissE,กลิ่นไม่ฉุน มีส่วนผสมสมุนไพร ราคาดี ใช้มานานแล้ว ปิดผมขาวดี,ราคาตำ่ลงอีกหน่อย,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops), ออนไลน์ (Shopee, Lazada, TikTok shop ฯลฯ)","ออนไลน์ (Shopee, Lazada, TikTok shop ฯลฯ)",1,"ปัญหาอื่น ๆ (ราคา, แพ็คเกจ, เลอะเทอะ, ใช้งานยาก)",เลือกเพราะอ่อนโยน/ไม่แพ้/กลิ่นดี
หญิง,55 ปีขึ้นไป,กทม. & ปริมณฑล,แบบซองครีม (ไม่ต้องผสม บีบแล้วลูบลงผมได้เลย),เคยใช้แชมพูปิดผมขาว,สีผม ไม่เท่ากัน,มั่นใจขึ้น,ไม่สนใจคำชม หรอกค่ะ,"ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, ใช้งานง่าย ไม่ต้องผสม, มีสารบำรุง, สีไม่หลุดง่าย, ราคาดี / คุ้มค่า",วันธรรมดาที่รู้สึกไม่มั่นใจในผมหงอก,ดูแลตัวเอง,จำไม่ได้ค่ะ เพราะเลิกใช้ไปแล้ว,ตอบแล้วนะคะ,ไม่ระบุ,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops)","ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops)",0,ไม่มีปัญหา / ไม่ระบุ,"เหตุผลอื่น ๆ (เพื่อนแนะนำ, โฆษณา, พรีเซนเตอร์)"
หญิง,55 ปีขึ้นไป,กทม. & ปริมณฑล,ครีมเปลี่ยนสีผมแบบต้องผสม (ในถ้วย/ขวด),เคยใช้แชมพูปิดผมขาว,ใช้ปิดผมขาวเป็นประจำ,ดูดีขึ้น,เหมือนเดิม,"ปิดผมหงอกเนียนสนิท, ได้สีผมเป็นธรรมชาติ",วันธรรมดาที่รู้สึกไม่มั่นใจในผมหงอก,ให้รู้สึกมั่นใจ,PureHerb,เป็นสมุนไพร 100 %,อยากให้มียาย้อมแบบนี้มากขึ้น,"ออนไลน์ (Shopee, Lazada, TikTok shop ฯลฯ)","ออนไลน์ (Shopee, Lazada, TikTok shop ฯลฯ)",1,"ปัญหาอื่น ๆ (ราคา, แพ็คเกจ, เลอะเทอะ, ใช้งานยาก)",เลือกเพราะอ่อนโยน/ไม่แพ้/กลิ่นดี
หญิง,55 ปีขึ้นไป,กทม. & ปริมณฑล,แชมพูปิดผมขาว (ฉีก เท สระ เหมือนสระผม),เคยใช้แชมพูปิดผมขาว,เห็นผมขาว,มั่นใจขึ้น,ไม่แก่,"รวดเร็ว ใช้เวลาน้อยในการทำ, ได้สีผมเป็นธรรมชาติ, ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, ใช้งานง่าย ไม่ต้องผสม, มีสารบำรุง, สีไม่หลุดง่าย, ราคาดี / คุ้มค่า, หาซื้อง่าย / มีขายใกล้บ้าน",เมื่อเห็นผมขาว,ไม่มี,HerbaSure,ราคา กลิ่น สะดวก,ไม่ที,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops), ออนไลน์ (Shopee, Lazada, TikTok shop ฯลฯ)","ออนไลน์ (Shopee, Lazada, TikTok shop ฯลฯ)",0,"ปัญหาอื่น ๆ (ราคา, แพ็คเกจ, เลอะเทอะ, ใช้งานยาก)",เลือกเพราะใช้ง่าย/สะดวกรวดเร็ว
ชาย,55 ปีขึ้นไป,กทม. & ปริมณฑล,ครีมเปลี่ยนสีผมแบบต้องผสม (ในถ้วย/ขวด),เคยใช้แชมพูปิดผมขาว,ทำเดือนละ1 ครั้งทุกเดือน,รู้สึกหนุ่มขึ้น,หน้าแลดูเด็กกว่าวัย,"ปิดผมหงอกเนียนสนิท, รวดเร็ว ใช้เวลาน้อยในการทำ, ได้สีผมเป็นธรรมชาติ, ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, สีไม่หลุดง่าย, ราคาดี / คุ้มค่า, หาซื้อง่าย / มีขายใกล้บ้าน","วันธรรมดาที่รู้สึกไม่มั่นใจในผมหงอก, หลังตัดผมมาแล้ว 1 สัปดาห์",รู้สึกดีขึ้นมั่นใจมากขึ้น,HerbaSure,ปราศจากสารเคมี,อยากให้ติดเฉพาะส่วนผมจริงๆเพียงส่วนเดียว เพราะทุกครั้งที่ย้อมจะติดผิวหนังไปอีก 2-3 วันกว่าจะจางลง ใครเห็นก็จะรู้ว่าย้อมผมมา,"ร้านสะดวกซื้อ (เช่น 7-11, CJ More, Big C Mini)","ร้านสะดวกซื้อ (เช่น 7-11, CJ More, Big C Mini)",1,มีปัญหาเรื่องสีไม่ติด/หลุดไว,"เหตุผลอื่น ๆ (เพื่อนแนะนำ, โฆษณา, พรีเซนเตอร์)"
หญิง,45–54 ปี,กทม. & ปริมณฑล,"แชมพูปิดผมขาว (ฉีก เท สระ เหมือนสระผม), ครีมเปลี่ยนสีผมแบบต้องผสม (ในถ้วย/ขวด)",เคยใช้แชมพูปิดผมขาว,มีผมขาว,มั่นใจขึ้น,หน้าตาสดใส,"ได้สีผมเป็นธรรมชาติ, ไม่แสบหนังศีรษะ, กลิ่นไม่ฉุน, สีไม่หลุดง่าย",ช่วงเทศกาล เช่น ปีใหม่ สงกรานต์,โอกาสพิเศษ,เปลี่ยนไปเรื่อยๆ,เห็นโฆษณา,ไม่ระบุ,"ซูเปอร์มาร์เก็ต / ห้างใหญ่ (เช่น Big C, Lotus, Tops), ร้านขายยาหรือร้านบิวตี้ (เช่น Boots, Watsons)","ร้านขายยาหรือร้านบิวตี้ (เช่น Boots, Watsons)",0,ไม่มีปัญหา / ไม่ระบุ,"เหตุผลอื่น ๆ (เพื่อนแนะนำ, โฆษณา, พรีเซนเตอร์)"
